gene_symbol,HealthyLungBiopsy_2,HealthyLungBiopsy_1,COVID19Lung_2,COVID19Lung_1
KRR1,99.9613775617812,146.304358271761,321.454029068579,0
PHLDA1,2379.28375323448,3020.06558774146,1888.5424207779,1573.98875592076
NAP1L1,4636.27972985784,5046.71937625687,5062.90095783012,3777.57301420983
BBS10,41.1008709771791,39.0492059444202,0,0
OSBPL8,273.498388354315,256.943775114285,549.150632992156,0
ZDHHC17,223.263990493318,264.49328826354,281.272275435007,314.797751184153
CSRP2,1112.2606071849,596.411538791112,683.089811770731,472.196626776229
E2F7,1.52225448063626,19.2642749325807,0,0
NAV3,60.3827610652384,372.789752749399,723.271565404303,314.797751184153
SYT1,5.58159976233296,6.76852903036617,0,0
MIR1252,0,0,0,0
MIR5692B,0,0,0,0
PAWR,80.6794874737219,180.407331463222,0,0
PPP1R12A,917.919451823666,505.817381000057,107.15134302286,0
OTOGL,10.1483632042417,0,0,0
PTPRQ,1.01483632042417,17.1816506155449,0,0
MYF6,0,0,0,0
MYF5,0,0,0,0
LIN7A,39.5786164965428,20.8262431703575,53.5756715114299,0
MIR617,0,0,0,0
MIR618,0,0,0,0
ACSS3,51.2492341814208,21.0865712099869,0,0
MIR4699,0,0,0,0
PPFIA2,28.922835132089,2.34295235666521,0,0
CCDC59,283.646751558557,368.884832154957,883.998579938593,629.595502368305
METTL25,47.6973070599362,15.8800104173976,80.3635072671448,0
TMTC2,45.6676344190879,63.2597136299608,93.7574251450023,0
SLC6A15,3.04450896127252,5.20656079258937,0,0
TSPAN19,4.0593452816967,0.520656079258937,93.7574251450023,0
LRRIQ1,15.7299629665747,4.68590471333043,0,0
ALX1,0,0,0,0
RASSF9,5.58159976233296,40.3508461425676,0,0
NTS,10.1483632042417,2.08262431703575,0,0
MGAT4C,2.02967264084835,0.260328039629468,0,0
MIR548AL,0,0,0,0
MKRN9P,3.04450896127252,0,0,0
C12orf50,0,33.5823171122014,0,0
C12orf29,119.750685810053,218.675553288753,187.514850290005,0
CEP290,85.2462509156307,48.94167145034,0,0
TMTC3,122.795194771325,112.982369199189,200.908768167862,0
KITLG,349.103694225916,1347.71826116176,428.605372091439,472.196626776229
DUSP6,2651.76730526837,2506.95902163178,2076.05727106791,157.398875592076
POC1B,111.631995246659,180.407331463222,174.120932412147,0
POC1B-GALNT4,0,0,0,0
GALNT4,0,0.780984118888405,0,0
ATP2B1,344.029512623795,489.156386463771,870.604662060736,472.196626776229
LINC00615,3.04450896127252,0,0,0
CCER1,0,0,0,0
EPYC,0,0,0,0
KERA,0,0.260328039629468,0,0
LUM,2471.63385839308,669.824045966622,4540.53816059368,944.393253552458
DCN,13415.6287378474,2039.14953441762,4714.65909300583,1573.98875592076
BTG1,2522.37567441429,3412.11961542344,2839.51059010578,1101.79212914453
CLLU1OS,0,2.60328039629468,0,0
CLLU1,0.507418160212087,0,0,0
C12orf74,0,0,0,0
PLEKHG7,4.0593452816967,2.34295235666521,0,0
EEA1,92.857523318812,144.221733954725,13.3939178778575,314.797751184153
LOC643339,0,0.260328039629468,0,0
NUDT4,51.7566523416329,22.9088674873932,133.939178778575,157.398875592076
UBE2N,1017.37341122524,1347.97858920139,2491.26872528149,1573.98875592076
MRPL42,288.213515000466,246.270325489477,455.393207847154,0
SOCS2-AS1,15.7299629665747,7.28918510962511,0,0
SOCS2,2433.07007821696,591.985962117411,348.241864824294,629.595502368305
CRADD,107.572649964963,66.3836501055144,26.7878357557149,0
PLXNC1,117.213595008992,109.337776644377,1058.11951235074,0
MIR5700,0,0,0,0
TMCC3,317.136350132555,105.953512129194,174.120932412147,0
MIR492,0,0,0,0
KRT19P2,0,0,0,0
NDUFA12,457.183762351091,386.84746688939,1044.72559447288,1259.19100473661
NR2C1,191.804064560169,201.233574633579,200.908768167862,0
FGD6,95.9020322800845,199.671606395802,147.333096656432,472.196626776229
VEZT,401.875182887973,474.317688204891,147.333096656432,0
MIR331,0,3.90492059444202,0,0
MIR3685,0.507418160212087,1.82229627740628,0,0
METAP2,955.975813839573,890.84255161204,1553.69447383147,157.398875592076
USP44,13.1928721655143,14.3180421796208,0,0
PGAM1P5,1.01483632042417,0.520656079258937,0,0
NTN4,489.658524604664,78.6190679680994,334.847946946437,0
SNRPF,551.056121990327,578.709232096308,375.029700580009,1416.58988032869
CCDC38,3.55192712148461,1.04131215851787,0,629.595502368305
AMDHD1,10.6557813644538,1.56196823777681,93.7574251450023,0
HAL,7.10385424296922,2.60328039629468,0,0
LTA4H,1592.78560490574,505.296724920798,321.454029068579,157.398875592076
ELK3,193.833737201017,558.14331696558,0,0
CDK17,608.394374094293,1544.78658716126,401.817536335724,0
NEDD1,63.934688186723,99.4453111384569,428.605372091439,0
RMST,12.1780358450901,0.260328039629468,0,0
MIR1251,0,0,0,0
MIR135A2,0,0,0,0
MIR4303,0,0,0,0
SLC9A7P1,3.55192712148461,1.82229627740628,0,0
TMPO-AS1,7.10385424296922,3.64459255481256,0,0
TMPO,187.744719278472,126.779755299551,401.817536335724,0
SLC25A3,3745.76085868563,3640.94796225774,629.514140259301,786.994377960382
SNORA53,3.04450896127252,5.20656079258937,66.9695893892873,0
IKBIP,156.284793345323,245.229013330959,214.302686045719,0
APAF1,74.5904695511769,74.7141473736574,0,0
ANKS1B,12.6854540053022,2.08262431703575,0,0
FAM71C,0,0.260328039629468,0,0
UHRF1BP1L,100.976213882205,272.563457492053,334.847946946437,0
GOLGA2P5,16.7447992869989,36.1855975084961,0,0
MIR1827,0,0,0,0
ACTR6,150.195775422778,142.13910963769,80.3635072671448,0
DEPDC4,1.52225448063626,0.780984118888405,0,0
SCYL2,176.074101593594,441.516355211578,977.756005083595,157.398875592076
SLC17A8,7.61127240318131,0,0,0
NR1H4,10.6557813644538,0.260328039629468,0,0
GAS2L3,0,4.68590471333043,0,0
ANO4,1.52225448063626,2.86360843592415,0,0
SLC5A8,2.53709080106044,6.24787295110724,40.1817536335724,0
UTP20,155.777375185111,248.352949806513,13.3939178778575,157.398875592076
ARL1,402.890019208397,537.577401834852,174.120932412147,1101.79212914453
SPIC,0,0,0,0
MYBPC1,0.507418160212087,0.260328039629468,0,0
CHPT1,471.391470837029,168.432241640266,214.302686045719,157.398875592076
SYCP3,11.670617684878,1.82229627740628,0,0
GNPTAB,201.952427764411,248.613277846142,241.090521801434,0
DRAM1,441.961217544728,1542.70396284423,1513.51272019789,1259.19100473661
NUP37,96.4094504402966,53.8879042032999,0,0
PARPBP,3.04450896127252,1.30164019814734,0,0
PMCH,0.507418160212087,1.30164019814734,0,0
IGF1,115.183922368144,10.1527935455493,160.72701453429,0
LINC00485,3.04450896127252,0,0,0
PAH,0,0,0,0
ASCL1,6.08901792254505,1.04131215851787,0,0
C12orf42,2.02967264084835,1.30164019814734,0,0
STAB2,7.10385424296922,3.12393647555362,0,0
NT5DC3,94.3797777994483,72.8918510962511,0,0
HSP90B1,4027.37793760334,11269.8611635993,7902.41154793591,4249.76964098606
MIR3652,0,0,0,0
C12orf73,54.2937431426934,46.3383910540454,0,0
TDG,166.433156549565,240.543108617629,214.302686045719,0
GLT8D2,132.943557975567,21.6072272892459,13.3939178778575,0
HCFC2,108.080068125175,99.7056391780863,66.9695893892873,0
NFYB,394.771328645004,196.547669920249,160.72701453429,0
TXNRD1,1174.67304089098,2856.0589227749,2544.84439679292,1259.19100473661
EID3,83.2165782747823,92.4164540684612,93.7574251450023,0
CHST11,306.480568768101,314.736599912027,750.059401160018,314.797751184153
MIR3922,0,0,0,0
SLC41A2,17.7596356074231,148.126654549167,147.333096656432,0
C12orf45,72.0533787501164,88.5115334740192,147.333096656432,0
ALDH1L2,63.4272700265109,9.63213746629033,0,314.797751184153
APPL2,213.623045449289,197.328654039137,174.120932412147,0
C12orf75,138.017739577688,55.7102004807062,348.241864824294,472.196626776229
NUAK1,318.658604613191,69.7679146206975,13.3939178778575,0
CKAP4,434.349945141547,932.234709913126,1259.0282805186,944.393253552458
